Cm, alpha_m, beta_m, V_t, alpha_m_kf, beta_m_kf, V_t_kf, alpha_t_kf, C_a_up
-0.058888, -0.012924, -0.00030582, 150.41, 0.0004732509765743917, 0.0008208452616601596, 150.37928840895768, 0.0014207816949435138, -0.9945962793041351
-0.058879, 0.0066512, 0.0031041, 149.33, 0.0006699216387110315, 0.0008347848712334669, 150.35735910439055, 0.002011221209128509, -0.9921794146036333
-0.058869, -0.0030895, -0.0042555, 149.96, 0.0006089771625150274, 0.0007808927692292426, 150.3501980187631, 0.0018282552978609336, -0.9928374416740643
-0.058859, 0.014089, -0.00062419, 150.23, 0.0008979967730559097, 0.0007585085183526038, 150.34892710189428, 0.0026959424077926345, -0.9894229097357967
-0.058849, -0.0010399, 0.0022373, 150.38, 0.0008579024427691685, 0.0007604463623057597, 150.35074884623782, 0.0025755722588396155, -0.9899131361128735
-0.05884, 0.0091294, -0.0031179, 150.7, 0.0010148311587096245, 0.0007142607736298697, 150.3589427679847, 0.0030466995423649194, -0.988167441907998
-0.05883, 0.0069048, -0.0029812, 149.21, 0.0011671185390645024, 0.0006752913598914024, 150.3382694694215, 0.0035038927296780777, -0.9860975371565095
-0.05882, 0.0066579, 0.0025888, 151.33, 0.0012464950365805303, 0.0006755042404198392, 150.35841709971618, 0.0037421947729106794, -0.9854613919968923
-0.05881, -0.0020312, 0.0039383, 150.88, 0.0011676562061274673, 0.0006884386061236465, 150.36971397620673, 0.003505506899661548, -0.9865361136979074
-0.058801, 0.013194, 0.002785, 148.66, 0.0014347424304931619, 0.0006986046661544652, 150.33987565746943, 0.004307346171705195, -0.9829451673461144
-0.058791, 0.010314, -0.0043423, 148.78, 0.0016162973509985495, 0.0006489761633765444, 150.3148373198627, 0.004852405602006089, -0.9802739429967676
-0.058781, 0.015922, 0.0021428, 151.2, 0.0018525040536989013, 0.0006439349360949586, 150.33081277937484, 0.0055615391823503665, -0.9777760911425614
-0.058772, -0.0027093, -0.0014045, 148.62, 0.0017972784011113677, 0.0006192075682448159, 150.3047587805942, 0.005395742173634963, -0.977834754338432
-0.058762, -0.0024492, -0.0050413, 151.21, 0.0017203899173614118, 0.0005544340761161811, 150.3202414742624, 0.005164909580209291, -0.9791371456800836
-0.058753, 0.014056, -0.0038905, 148.93, 0.0019277153954545315, 0.0005097832187120352, 150.30023143727956, 0.005787336703978392, -0.9761164784619529
-0.058743, 0.017421, -0.004582, 149.26, 0.0021648522558884394, 0.00045854078008468084, 150.28629426235779, 0.006499262779524292, -0.9727679374649305
-0.058734, -0.0014337, -0.0011313, 149.73, 0.002116289837669487, 0.00043249593431699104, 150.2796035443007, 0.006353469958625943, -0.973181526298396
-0.058724, -0.0020224, 0.0051472, 148.16, 0.0020644660213193296, 0.00046271793988658736, 150.25280228619852, 0.006197885853622318, -0.9730603867992897
-0.058715, 0.01797, -0.0054664, 150.5, 0.0022786974437276793, 0.0003979838710186215, 150.25703796255263, 0.006841045822657583, -0.9704081180737326
-0.058705, -0.0086996, 0.0063166, 148.98, 0.0021382645914506805, 0.0004321501825356704, 150.24217994087962, 0.006419441989257987, -0.9717706681228736
-0.058696, -0.001659, -0.0003886, 151.75, 0.0020920437852501015, 0.0004001335278657131, 150.26223542331914, 0.006280679094671563, -0.9730110597202833
-0.058687, 0.0027292, 0.0014582, 149.3, 0.002102883219911003, 0.00039434009213500516, 150.2513633899033, 0.006313220961697851, -0.9725419577292291
-0.058677, 0.011349, 0.0024089, 150.8, 0.002223139526105994, 0.0003877929769437104, 150.2591461514314, 0.0066742512965533955, -0.971228007041251
-0.058668, 0.010325, 0.0019902, 150.32, 0.002328139601610102, 0.000379990670493712, 150.2609198865861, 0.0069894797749471905, -0.9699301779934177
-0.058659, -0.008325, 0.00031416, 151.26, 0.0021962411173029593, 0.0003545019084941705, 150.27434012552985, 0.00659349759768712, -0.9720623872683906
-0.05865, -0.0030996, -0.0011135, 148.39, 0.00213357814034209, 0.0003328764107352328, 150.2529201783351, 0.0064053724484035126, -0.9722138450983847
-0.058641, -0.00444, -0.0023605, 148.16, 0.002059085883234786, 0.0003032801331157981, 150.23042091787164, 0.006181733743885284, -0.9725131937794547
-0.058632, 0.0094927, 0.005723, 150.14, 0.0021452484389927885, 0.0003218773670415374, 150.23039730199528, 0.006440408713552836, -0.9713653244165243
-0.058623, -0.0080619, 0.0033789, 149.67, 0.00203430277173039, 0.00032494758112010957, 150.22532259303674, 0.006107330535202935, -0.972694228673603
-0.058614, 0.018213, -0.0013858, 149.62, 0.002210532683459051, 0.00029352158225756983, 150.21989424634418, 0.006636403363531762, -0.9701514119951533
-0.058605, -0.011319, 0.0054153, 151.13, 0.002067944211101377, 0.0003028996925394973, 150.23046577514748, 0.006208327983947422, -0.9724152985273196
-0.058596, -0.002808, -0.00094023, 148.17, 0.0020176176772922837, 0.0002812975096682197, 150.2103604038351, 0.006057238981398526, -0.9724880047913391
-0.058587, 0.0037527, 0.0023047, 150.29, 0.0020379172419435552, 0.0002715716408694318, 150.2120755020116, 0.006118181803071321, -0.9722691486437064
-0.058579, 0.0070057, -0.00362, 151.01, 0.002092658921289141, 0.00021613187876359937, 150.22104331024548, 0.006282525839987323, -0.9718175255431671
-0.05857, -0.0045106, -0.0031326, 148.11, 0.002026488925838628, 0.00018030777619537015, 150.20137242927788, 0.006083872011587232, -0.972117650219204
-0.058561, 0.011024, 0.0017677, 150.17, 0.002116696911688913, 0.00016654722644978797, 150.20195578099634, 0.006354692065592259, -0.970900691930407
-0.058553, -0.0050823, 0.0031161, 148.21, 0.0020470460454573495, 0.00017233174082688133, 150.184385882992, 0.00614558805804203, -0.9713214585738662
-0.058545, -0.0059559, 0.0020916, 150.6, 0.001975626892767483, 0.00015733950615729971, 150.18904543845738, 0.0059311753471700274, -0.9724716360699599
-0.058536, 0.0027754, -0.0058288, 150.93, 0.0019862525395963893, 8.63439247555144e-05, 150.19671978055922, 0.005963075385962808, -0.9725671056445675
-0.058528, 0.014976, 0.0058265, 150.98, 0.002112527445691931, 9.362323014944037e-05, 150.20482548451443, 0.006342174603908225, -0.9710950051786404
-0.05852, 0.0076897, -0.0025808, 148.51, 0.002162076668731527, 5.905520149616244e-05, 150.19035903713083, 0.006490929984410362, -0.9699495687875158
-0.058512, 0.015209, 0.0069316, 151.89, 0.0022915118326367707, 6.704967135839402e-05, 150.20667547419876, 0.006879516845635097, -0.9687464012247305
-0.058504, -0.0031687, 0.0035847, 149.08, 0.00224013638293314, 6.879929446751347e-05, 150.19737412503287, 0.006725278815242072, -0.9691354514935002
-0.058496, 0.0099013, 0.0015456, 151.79, 0.002319183090738787, 4.074563194017365e-05, 150.21264983994482, 0.006962590772438124, -0.9686075824429587
-0.058488, -0.0010608, -0.0057135, 150.3, 0.002290472037997486, -2.579817195263482e-05, 150.21426406228406, 0.006876395201384746, -0.9690564156431061
-0.05848, -0.011866, -0.0043628, 149.4, 0.002161677478813853, -7.742138664804598e-05, 150.20779720234765, 0.006489731546887966, -0.9705876290310388
-0.058472, 0.015987, 0.0028043, 148.33, 0.002280192812867368, -7.62007463722596e-05, 150.19237487967288, 0.006845535180748785, -0.9684510580495076
-0.058465, 0.012972, 0.0013828, 149.85, 0.0023731986908047476, -9.459744081439198e-05, 150.19023901130518, 0.007124754993145322, -0.9670922252414745
-0.058457, 0.0061792, 0.0023124, 149.0, 0.002402137000286299, -0.0001019105217875203, 150.1811234279319, 0.007211632828436034, -0.966364594338241
-0.05845, 0.0068815, 0.0068131, 150.63, 0.002444234370154495, -9.210064698439129e-05, 150.1855522159026, 0.007338016450392697, -0.9659501390256493
-0.058443, 0.015717, -0.0032503, 151.2, 0.0025642899885176228, -0.00014978602453646217, 150.19470642967914, 0.007698444285492248, -0.9646510315006773
-0.058435, -0.0022465, 0.0032428, 149.31, 0.002521757887517064, -0.00015437898411413986, 150.18817467044965, 0.007570755525108711, -0.9649917398076244
-0.058428, 0.0058817, 0.0030628, 149.12, 0.0025455352282382233, -0.00015940271481980125, 150.18031221292054, 0.007642139235070792, -0.9643636214169816
-0.058421, 0.00041732, 0.0024301, 150.5, 0.0025325732481036303, -0.00017800030520564802, 150.1835450922741, 0.007603225117579148, -0.9646785437113538
-0.058414, 0.0080746, -0.0067687, 150.25, 0.0025798463891992356, -0.00025131716767008954, 150.18475688315357, 0.007745147304443479, -0.9640735516491246
-0.058408, -0.009464, 0.0025867, 150.04, 0.0024853304063255587, -0.0002662059938015179, 150.18428262233718, 0.007461393894532859, -0.965377491885857
-0.058401, 0.0075811, -0.00098641, 149.56, 0.0025244629569389776, -0.0002994655223971244, 150.18009194070274, 0.0075788766137243665, -0.964676533744932
-0.058394, 0.018157, -0.0058063, 151.06, 0.0026549722334781476, -0.0003730421578085945, 150.18757775329613, 0.007970688147784722, -0.9631667344586985
-0.058388, -0.006306, 0.002493, 150.43, 0.002587946603374338, -0.0003921128855547412, 150.19009134578755, 0.0077694655554239895, -0.9642027404325508
-0.058382, 0.015395, 0.0013681, 151.7, 0.00270152860762942, -0.0004282225368609027, 150.202597716743, 0.00811045847568952, -0.9631692340132081
-0.058375, -0.0031635, 0.0056873, 151.04, 0.0026610229939671337, -0.00043380959670174, 150.20986928262062, 0.007988853582551421, -0.964027330114263
-0.058369, 0.0032117, 0.0010263, 151.54, 0.0026747763073948438, -0.0004711853707955778, 150.22121409986033, 0.008030143420143208, -0.9643196469706042
-0.058363, -0.0088606, 0.0045357, 148.83, 0.0025771093724355825, -0.00046690503442473215, 150.2107864449773, 0.007736930304354646, -0.965217797557511
-0.058357, 0.0038193, 0.0030323, 148.93, 0.0025830353339830092, -0.00047277091624952717, 150.20149123211678, 0.007754721071005498, -0.9647761850649851
-0.058352, 0.012022, 0.0049164, 150.26, 0.0026584466105493967, -0.0004786804040811819, 150.20249336849147, 0.007981118831689261, -0.9637927542872684
-0.058346, -0.0098967, -0.0060555, 150.4, 0.0025641916051497423, -0.0005488238945056464, 150.2045451306798, 0.007698148921520295, -0.9651606492150638
-0.058341, 0.00061128, 0.00056028, 149.29, 0.0025472686054804064, -0.0005721223081388058, 150.19823808149894, 0.007647343134857649, -0.9651485014436676
-0.058335, 0.019347, -0.0068144, 151.83, 0.0026858955754906714, -0.0006588456277106632, 150.21108457665153, 0.008063525395783437, -0.9637986806621072
-0.05833, 0.016571, -0.0039463, 148.59, 0.0027836240733962836, -0.0007006857777264135, 150.19957389534903, 0.00835692333423818, -0.9619992297978786
-0.058325, -0.010224, -0.0055774, 150.49, 0.0026897953485435773, -0.0007686209830167484, 150.20219846032506, 0.008075233192369743, -0.9633920878439977
-0.05832, -0.0072292, 0.0044703, 150.47, 0.0026187117658943637, -0.0007803986712801197, 150.20462850670313, 0.007861827921090537, -0.9644609785029861
-0.058316, 0.0078968, 0.0034104, 150.72, 0.002661990817454804, -0.0008007092072748586, 150.20886507513876, 0.007991759156894176, -0.9640515615015662
-0.058311, -0.0054188, -0.0051462, 149.54, 0.002601009104835542, -0.0008572539107124865, 150.20446051429812, 0.007808681455411328, -0.9647013845667273
-0.058306, -0.0041349, 0.00055093, 151.64, 0.0025577671509461513, -0.0009026809685328343, 150.21538693600962, 0.007678861593264714, -0.9657298213574153
